City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
206,buala,SB,81.72,-8.14,159.59,Maringe Lagoon Lodge
209,katsuura,JP,77.0,35.13,140.3,Katsuura Hilltop Hotel & Residence
211,ladushkin,RU,75.2,54.57,20.17,Dom-kvartira
212,qandala,SO,97.43,11.47,49.87,
214,bairiki,KI,84.2,1.33,172.98,Tarawa Boutique Hotel
216,airai,TL,66.63,-8.93,125.41,Juvinal Martin
217,georgetown,MY,89.01,5.41,100.34,Cititel Penang
218,nantucket,US,64.4,41.28,-70.1,Jared Coffin House
220,chicama,PE,61.92,-7.84,-79.15,Hospedaje Punta Cana PERU
221,port hedland,AU,78.8,-20.32,118.57,The Esplanade Hotel
222,nouadhibou,MR,68.0,20.93,-17.03,El Medina
224,havre-saint-pierre,CA,60.8,50.23,-63.6,Auberge Niapiskau
227,wajima,JP,75.2,37.4,136.9,Wajiima Onsen Yashio
229,geraldton,AU,71.6,-28.77,114.6,Broadwater Mariner Resort
230,vila franca do campo,PT,60.8,37.72,-25.43,Pestana Bahia Praia
231,san juan de los morros,VE,67.96,9.91,-67.35,Hotel La Montaña
233,tombouctou,ML,97.99,20.0,-3.0,
235,khatanga,RU,85.26,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
236,obigarm,TJ,81.97,38.72,69.71,Kurort Obi Garm
237,aripuana,BR,70.79,-9.17,-60.63,
241,furukawa,JP,75.2,38.57,140.96,Value the Hotel Furukawa Sanbongi
242,mitu,CO,71.8,1.2,-70.17,
243,lagoa,PT,63.61,39.05,-27.98,Casa Das Faias
244,depalpur,IN,87.8,22.85,75.55,Nakshatra City
245,apple valley,US,73.99,34.5,-117.19,Black Horse Motel
246,east london,ZA,73.4,-33.02,27.91,Tu Casa
247,salalah,OM,89.6,17.02,54.09,HAMDAN PLAZA HOTEL
248,bajil,YE,99.25,15.06,43.29,فندق الصقر السياحي
249,noumea,NC,72.0,-22.28,166.46,Hôtel Le Lagon
251,dire,ML,80.73,12.28,-10.97,
252,felipe carrillo puerto,MX,75.04,19.58,-88.05,Hotel La Ceiba
253,north bend,US,60.01,43.41,-124.22,Red Lion Hotel Coos Bay
254,yashkul,RU,83.59,46.17,45.34,
255,vao,NC,70.09,-22.67,167.48,Hotel Kou-Bugny
256,san jeronimito,MX,79.41,17.55,-101.33,Quinta Mamá Pía
258,port blair,IN,87.8,11.67,92.75,Hotel Sentinel
259,roebourne,AU,77.92,-20.78,117.13,Harding River Caravan Park
260,chokurdakh,RU,81.32,70.63,147.92,
261,vanimo,PG,83.79,-2.67,141.3,Vahmoneh Lodge Vanimo
264,margate,GB,71.6,51.38,1.39,Premier Inn Margate hotel
265,the pas,CA,62.6,53.83,-101.25,Wescana Inn
266,kyzyl-suu,KG,67.84,42.34,78.0,Gostinitsa Nur-Ordo
267,victoria,HK,90.0,22.29,114.16,Mini Hotel Central
268,hualmay,PE,60.64,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
269,suihua,CN,68.29,46.64,127.0,Water Resources Bureau Hostel
270,sur,OM,91.94,22.57,59.53,Sur Plaza Hotel
271,marfino,RU,73.0,55.7,37.38,Kardiologicheskiy Sanatornyy Tsentr Peredelkino
