City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,Kuopio,62.89,27.68,73.4,46,0,8.05,FI,2020-06-23 07:37:12
153,Thinadhoo,0.53,72.93,84.2,75,0,9.89,MV,2020-06-23 07:37:13
154,Kushima,31.46,131.23,86.0,78,20,13.87,JP,2020-06-23 07:35:09
155,Lac Du Bonnet,50.25,-96.06,55.99,91,4,2.64,CA,2020-06-23 07:37:13
156,Sheksna,59.21,38.51,71.6,46,0,4.47,RU,2020-06-23 07:37:13
157,Berlevag,70.86,29.09,42.8,70,40,3.36,NO,2020-06-23 07:37:13
158,Port Huron,42.97,-82.42,70.0,94,90,8.05,US,2020-06-23 07:37:13
159,Ishim,56.11,69.49,62.83,51,81,8.59,RU,2020-06-23 07:37:14
160,Saldanha,-33.01,17.94,42.8,73,90,11.41,ZA,2020-06-23 07:34:12
161,Xiantao,30.38,113.4,79.47,79,100,1.25,CN,2020-06-23 07:37:14
162,Lisakovsk,52.54,62.49,66.72,38,4,13.09,KZ,2020-06-23 07:37:14
163,Aswan,24.09,32.91,107.29,8,0,15.37,EG,2020-06-23 07:37:15
164,Asyut,27.18,31.18,86.0,40,0,4.7,EG,2020-06-23 07:33:10
165,Airai,-8.93,125.41,63.66,87,66,3.91,TL,2020-06-23 07:34:45
166,Kieta,-6.22,155.63,81.07,76,91,0.67,PG,2020-06-23 07:37:15
167,Avera,33.19,-82.53,71.6,100,1,3.36,US,2020-06-23 07:37:15
168,Alofi,-19.06,-169.92,73.4,94,16,1.12,NU,2020-06-23 07:35:35
169,Tiznit,29.58,-9.5,68.14,78,79,2.17,MA,2020-06-23 07:35:18
170,Vila Velha,-20.33,-40.29,62.01,93,99,4.7,BR,2020-06-23 07:35:01
171,Samarai,-10.62,150.67,79.79,86,100,13.13,PG,2020-06-23 07:35:07
172,Ahipara,-35.17,173.17,59.31,83,68,14.5,NZ,2020-06-23 07:35:39
173,Sao Joao Da Barra,-21.64,-41.05,67.03,85,62,7.67,BR,2020-06-23 07:35:08
174,Bolshevik,54.01,27.57,66.2,82,75,4.47,BY,2020-06-23 07:37:17
175,Praia,14.92,-23.51,78.8,65,65,14.99,CV,2020-06-23 07:37:17
176,North Bend,43.41,-124.22,60.01,93,1,16.11,US,2020-06-23 07:37:17
177,Ulladulla,-35.35,150.47,55.0,58,20,14.99,AU,2020-06-23 07:35:07
178,Cotonou,6.37,2.42,75.2,94,40,4.7,BJ,2020-06-23 07:37:18
179,Vao,-22.67,167.48,72.07,82,48,11.23,NC,2020-06-23 07:34:44
180,Yumen,40.28,97.2,90.27,10,65,29.53,CN,2020-06-23 07:35:22
181,Dabakala,8.37,-4.43,75.22,83,43,6.55,CI,2020-06-23 07:37:18
182,Awjilah,29.11,21.29,78.67,50,0,8.14,LY,2020-06-23 07:37:18
183,Wadi Maliz,36.47,8.55,73.4,60,20,4.7,TN,2020-06-23 07:37:19
184,Manono,-7.3,27.42,85.35,28,17,8.03,CD,2020-06-23 07:37:19
185,Weiser,44.25,-116.97,66.2,55,1,5.53,US,2020-06-23 07:37:19
186,Aberystwyth,52.42,-4.08,60.01,93,97,5.99,GB,2020-06-23 07:37:19
187,Krasnoselkup,65.7,82.47,63.48,43,64,10.65,RU,2020-06-23 07:35:22
188,Ribeira Grande,38.52,-28.7,66.2,93,40,13.87,PT,2020-06-23 07:34:04
189,Kungurtug,50.6,97.52,66.49,48,68,0.96,RU,2020-06-23 07:37:20
190,Kaitangata,-46.28,169.85,42.01,78,95,3.69,NZ,2020-06-23 07:34:22
191,Sistranda,63.73,8.83,66.2,72,75,13.87,NO,2020-06-23 07:37:20
192,Peterhead,57.51,-1.8,59.0,82,100,9.17,GB,2020-06-23 07:35:48
193,Nishihara,26.18,127.76,84.2,89,75,8.05,JP,2020-06-23 07:37:21
194,Salta,-24.79,-65.41,48.2,93,75,4.7,AR,2020-06-23 07:37:21
195,Charters Towers,-20.1,146.27,61.86,48,0,8.32,AU,2020-06-23 07:37:21
196,Skjervoy,70.03,20.97,59.0,62,75,3.36,NO,2020-06-23 07:35:44
197,Panaba,21.28,-88.27,76.1,96,6,6.85,MX,2020-06-23 07:35:43
198,Gawler,-34.6,138.73,55.99,91,63,1.99,AU,2020-06-23 07:37:22
199,Aktau,43.65,51.2,91.4,11,0,15.66,KZ,2020-06-23 07:37:22
200,Necochea,-38.55,-58.74,46.99,98,100,9.64,AR,2020-06-23 07:37:22
201,Nelson Bay,-32.72,152.15,55.0,62,20,13.87,AU,2020-06-23 07:37:23
202,Pogradec,40.9,20.65,64.4,77,75,2.24,AL,2020-06-23 07:37:23
203,Talaja,21.35,72.05,91.2,59,24,18.77,IN,2020-06-23 07:37:23
204,Palestine,31.92,35.2,82.4,48,0,4.7,PS,2020-06-23 07:34:51
205,Mogadishu,2.04,45.34,84.2,66,75,13.87,SO,2020-06-23 07:37:23
206,Woodstock,43.13,-80.75,66.99,93,20,4.7,CA,2020-06-23 07:37:23
